name
Aabida
Aaliyah
Afreen
Afsana
Aisha
Amina
Anam
Arfa
Asma
Ayat
Ayesha
Bushra
Dilshad
Farah
Farhana
Fariha
Fatima
Firdaus
Gulnar
Habiba
Hafsa
Hajra
Halima
Hina
Huma
Iqra
Ishrat
Jamila
Kausar
Khadija
Lubna
Mahira
Mariam
Maryam
Mehnaz
Mehreen
Mumtaz
Munira
Nadia
Naila
Najma
Nargis
Nasreen
Naznin
Nida
Nilofar
Noor
Nuzhat
Parveen
Rabia
Rafia
Rahila
Razia
Rehana
Rukhsana
Saba
Sadia
Safiya
Sahar
Saira
Sajida
Salma
Samina
Sana
Sania
Sarah
Shabana
Shabnam
Shaheen
Shahnaz
Shaista
Shakila
Shamim
Sharmin
Shazia
Sufia
Sultana
Tabassum
Tahira
Tanzila
Tarannum
Yasmin
Zainab
Zara
Zarina
Zeenat
Zoya
