name
Aamir
Aarif
Abbas
Abdul
Abdullah
Adil
Afzal
Ahmed
Ahsan
Akbar
Akram
Ali
Altaf
Amir
Anees
Anwar
Arif
Arshad
Asif
Aslam
Ayaan
Ayub
Azhar
Bilal
Danish
Ebrahim
Faisal
Faiz
Farhan
Farid
Faruk
Fayaz
Firoz
Gulzar
Habib
Hamid
Hamza
Haroon
Hasan
Hashim
Hussain
Ibrahim
Idris
Imran
Iqbal
Irfan
Ishaq
Ismail
Jamal
Javed
Junaid
Kamran
Karim
Kashif
Khalid
Mahmood
Majid
Mansoor
Masood
Mohammed
Moin
Mukhtar
Munir
Murtaza
Mustafa
Nadeem
Naeem
Nasir
Nawaz
Nazir
Noman
Omar
Parvez
Qasim
Rafiq
Rahim
Rashid
Rehan
Rizwan
Sadiq
Saeed
Sajid
Salim
Salman
Sameer
Shabbir
Shafiq
Shahid
Shakeel
Sharif
Sohail
Suhail
Tariq
Wasim
Yasin
Yusuf
Zahid
Zaid
Zubair
