name
Abbasi
Ahmad
Ahmed
Akhtar
Alam
Ali
Ansari
Aziz
Baig
Chishti
Farooqui
Ghori
Hashmi
Hussain
Hussaini
Idrisi
Iqbal
Jafri
Kazmi
Khalil
Khan
Lari
Mansoori
Memon
Mirza
Mughal
Nadvi
Naqvi
Pasha
Qureshi
Rahman
Rizvi
Salmani
Sayyed
Shaikh
Sheikh
Siddiqui
Sulaiman
Usmani
Zaidi
